                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43049,                 1.5378,                    1.1,                0.84782,                0.81174,                0.86293,                0.55577,                 1.1513,                 1.2322,                 1.8658,             0.00041063,             0.00041063,             0.00041063
                      2,                0.21949,                0.52149,                0.94239,                0.92206,                0.93312,                0.97653,                 0.7347,                0.84663,                0.78756,                 1.3485,             0.00074539,             0.00074539,             0.00074539
                      3,                0.20278,                0.42604,                0.92529,                0.90623,                0.90983,                0.95403,                0.74698,                 0.7616,                0.78205,                  1.247,             0.00099766,             0.00099766,             0.00099766
                      4,                0.18524,                0.36172,                0.91255,                0.89931,                   0.85,                0.92719,                0.61909,                 1.0225,                0.84803,                 1.6957,             0.00087875,             0.00087875,             0.00087875
                      5,                0.17518,                0.31643,                0.91182,                0.98464,                0.97537,                0.98351,                0.76091,                0.83205,                0.55752,                 1.3908,               0.000755,               0.000755,               0.000755
                      6,                0.16162,                0.28505,                0.90589,                0.86406,                0.92008,                0.93794,                0.71875,                0.77787,                 0.6619,                 1.2876,             0.00063125,             0.00063125,             0.00063125
                      7,                0.14275,                0.25094,                0.88895,                0.98093,                 0.9848,                0.98838,                  0.782,                0.76281,                0.46281,                 1.2375,              0.0005075,              0.0005075,              0.0005075
                      8,                0.13258,                0.22564,                0.88786,                0.97355,                0.96479,                0.98446,                0.78064,                0.72293,                0.46805,                 1.2195,             0.00038375,             0.00038375,             0.00038375
                      9,                0.12138,                0.20377,                0.88571,                0.97876,                0.96121,                0.98627,                0.77434,                0.75651,                0.44505,                 1.2516,                0.00026,                0.00026,                0.00026
                     10,                0.11089,                0.18922,                 0.8783,                0.96522,                0.98885,                0.98654,                0.76533,                0.77567,                0.45115,                 1.2926,             0.00013625,             0.00013625,             0.00013625
