                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98571,                 3.1542,                 1.4577,                0.01295,                0.96818,                0.38051,                0.24175,                  1.049,                 3.0476,                 1.6865,                0.00015,                0.00015,                0.00015
                      2,                0.26135,                 1.7563,                 1.0145,                0.01463,                0.97727,                0.62293,                0.43393,                 1.2262,                 2.6678,                 1.9033,             0.00028156,             0.00028156,             0.00028156
                      3,                0.19021,                0.83149,                0.93735,                0.64659,                0.45551,                0.58889,                0.33034,                 1.5715,                 2.0975,                 2.3321,             0.00038095,             0.00038095,             0.00038095
                      4,                0.17876,                0.59309,                0.91079,                0.69729,                0.55455,                0.64862,                0.36494,                 1.4701,                 1.7205,                 2.3932,             0.00044816,             0.00044816,             0.00044816
                      5,                0.15406,                 0.5355,                0.92728,                0.62327,                0.66364,                0.69124,                0.43924,                 1.4268,                 1.6468,                 2.4572,              0.0004832,              0.0004832,              0.0004832
                      6,                0.14086,                0.50012,                0.89811,                0.72029,                 0.7159,                0.74545,                0.44727,                 1.4001,                 1.6481,                 2.4755,             0.00048606,             0.00048606,             0.00048606
                      7,                0.12782,                0.47109,                 0.8929,                0.76327,                0.80538,                0.81628,                0.46442,                 1.3579,                 1.4265,                 2.4062,             0.00045675,             0.00045675,             0.00045675
                      8,                0.11848,                0.45054,                0.90077,                 0.7834,                0.86713,                0.83801,                  0.475,                 1.3697,                 1.3596,                 2.4282,             0.00038375,             0.00038375,             0.00038375
                      9,                0.11179,                0.43695,                0.89647,                0.75334,                0.83636,                0.81706,                0.45762,                 1.3918,                 1.3492,                 2.3366,                0.00026,                0.00026,                0.00026
                     10,                0.09454,                0.42344,                0.88077,                0.77732,                0.82053,                0.82705,                0.46586,                 1.4123,                 1.2866,                 2.3174,             0.00013625,             0.00013625,             0.00013625
